,Aminoglycoside,Glycopeptide,Lipoglycopeptide,Lipopeptide,Macrolide,Oxazolidinone,Penicilin,Streptogramin,Tetracycline
1352_8053,S,S,,,R,,S,,
1352_11788,,R,,,,,,,
1352_11516,,R,,,,,,,
1352_7843,,,,S,,S,,,
1352_11303,,S,,,,,,,
1352_11893,,S,,,,,,,
1352_11294,,R,,,,,,,
1352_11864,,R,,,,,,,
1352_8063,,S,,,R,,,,
1352_17975,,,,R,,,,,
1352_1483,,S,,,,,,,
1352_18026,,,,S,,,,,
1352_11985,,R,,,,,,,
1352_17959,,,,S,,,,,
1352_1508,,S,,,,,,,
1352_10939,,S,,,,,,,
1352_11520,,R,,,,,,,
1352_11510,,R,,,,,,,
1352_11922,,S,,,,,,,
1352_11793,,R,,,,,,,
1352_17994,,,,S,,,,,
1352_18042,,,,S,,,,,
1352_11384,,S,,,,,,,
1352_11283,,S,,,,,,,
1352_17953,,,,S,,,,,
1352_17990,,,,R,,,,,
1352_11530,,S,,,,,,,
1352_11419,,S,,,,,,,
1352_11296,,S,,,,,,,
1352_17908,,,,S,,,,,
1352_11414,,R,,,,,,,
1352_11707,,R,,,,,,,
1352_11363,,S,,,,,,,
1352_1478,,S,,,,,,,
1352_18000,,,,R,,,,,
1352_11633,,S,,,,,,,
1352_1780,R,R,R,,,S,R,S,S
1352_11945,,S,,,,,,,
1352_11379,,R,,,,,,,
1352_11965,,S,,,,,,,
1352_11444,,S,,,,,,,
1352_11265,,R,,,,,,,
1352_11916,,S,,,,,,,
1352_18007,,,,R,,,,,
1352_11708,,R,,,,,,,
1352_17797,,R,,,R,S,R,,
1352_11307,,R,,,,,,,
1352_11943,,S,,,,,,,
1352_7888,,R,,S,,R,,,
1352_1504,,S,,,,,,,
1352_1484,,S,,,,,,,
1352_17919,,,,S,,,,,
1352_11497,,R,,,,,,,
1352_11991,,S,,,,,,,
1352_11290,,R,,,,,,,
1352_11802,,R,,,,,,,
1352_11780,,R,,,,,,,
1352_11606,,S,,,,,,,
1352_11768,,R,,,,,,,
1352_17929,,,,S,,,,,
1352_8046,S,S,,,R,,,,
1352_12000,,R,,,,,,,
1352_8049,S,S,,,R,,S,,
1352_11320,,R,,,,,,,
1352_1462,,S,,,,,,,
1352_11587,,R,,,,,,,
1352_11669,,R,,,,,,,
1352_11905,,S,,,,,,,
1352_1521,,R,,,,,,,
1352_11556,,R,,,,,,,
1352_10964,,S,,,,,,,
1352_11276,,S,,,,,,,
