,Aminoglycoside,B-lactam Combined Agents,Carbapenem,Cephem,Fluoroquinolone,Folate,Macrolide,Oxazolidinone,Penicilin,Phenicol,Tetracycline,nan
590_12236,S,S,,S,S,S,,,S,S,R,
54388_206,,,,,R,S,,,S,S,,
90371_2132,S,R,,R,S,S,,,R,S,S,
590_12289,S,S,,S,S,S,,,S,S,R,
54388_21,S,,,,S,S,S,,S,S,S,
90370_3553,,,,,R,S,,,S,S,,
90370_2800,,,,S,R,R,,,R,R,,
28901_21137,R,S,,R,R,S,,,R,R,R,
54388_324,S,,,,S,S,S,,S,S,S,
90370_4099,S,,S,S,R,R,S,,R,R,S,
54388_375,S,,S,S,R,S,S,,S,S,S,
90370_2956,,,,S,R,S,,,R,S,,
85569_92,S,,,,S,R,,R,S,R,R,
90371_5319,S,S,,S,S,S,,,S,S,,
90370_3019,,,,S,R,S,,,S,S,,
90371_5515,S,,S,S,S,R,,,R,R,S,
90370_2968,,,,S,R,S,,,R,S,,
590_14124,S,S,,S,S,S,,,S,S,R,
590_12211,S,S,,S,S,S,,,S,S,S,
54388_297,S,,,,S,S,S,,S,S,S,
28901_16292,R,,,R,S,R,,,R,R,R,
90370_2499,,,,S,S,S,,,S,S,,
90371_5445,S,,S,R,S,R,,,R,R,R,
90370_2725,,,,S,R,R,,,R,R,,
90370_3341,,,,,R,,,,,,,
90370_2478,,,,S,R,R,,,R,R,,
90371_5281,S,S,,S,S,S,,,R,S,,
90370_3337,,,,,R,,,,,,,
90370_5200,,,,,S,,,,,,,
399587_48,S,S,S,S,S,S,S,,R,S,S,
590_12626,R,S,,S,S,R,,,S,S,S,
90370_3527,,,,,R,S,,,S,S,,
595_123,R,S,,S,R,R,,,S,S,R,
85569_245,R,,,,S,R,,S,R,R,R,
85569_136,R,,,,S,R,,S,R,R,R,
590_12367,S,S,,S,S,S,,,S,S,R,
54388_378,S,,S,S,R,S,S,,S,S,S,
90370_3423,,,,,R,S,,,S,S,,
90371_6223,R,,,,,S,,,S,R,S,
590_12336,S,S,,S,S,S,,,S,S,R,
85569_128,R,,,,S,S,,S,S,S,S,
590_15479,S,S,,S,S,S,,,S,R,S,
192955_360,R,,,R,R,R,S,,R,S,R,
85569_175,R,,,,S,R,,S,R,R,R,
90370_2694,,,,S,R,R,,,R,R,,
90370_4868,,,,,R,R,,,R,R,,
90370_3027,,,,S,R,S,,,S,S,,
90370_3344,,,,,R,,,,,,,
590_12244,S,S,,S,S,S,,,S,S,S,
90370_5500,S,,S,S,R,S,S,,S,S,,
59201_4088,,,S,S,R,S,,,S,S,,
90371_5260,R,S,,S,S,R,,,R,S,,
590_12455,S,S,,S,S,S,,,S,S,R,
90370_2774,,,,S,R,R,,,R,R,,
59201_4087,,,S,S,R,S,,,S,S,,
85569_60,R,,,,S,R,,S,R,R,R,
28901_760,S,R,,S,R,S,S,,R,S,S,
90370_4129,S,,S,S,S,S,S,,S,S,S,
90370_4094,S,,S,S,R,R,S,,R,R,S,
590_12256,S,S,,S,S,S,,,S,S,R,
90370_4104,S,,S,S,R,R,S,,R,R,S,
590_12523,S,S,,S,S,S,,,S,S,R,
590_16929,S,S,,S,S,S,,,S,S,R,
90371_5513,S,,S,R,S,R,,,R,S,S,
108619_140,S,S,,S,S,S,S,,S,S,S,
90371_5247,S,S,,S,S,R,,,R,R,,
85569_87,R,,,,S,R,,S,R,R,R,
85569_137,R,,,,S,R,,S,R,R,R,
590_12069,R,R,,S,S,S,,,R,S,S,
85569_284,R,,,,S,R,,S,R,R,R,
28901_16299,R,,,S,S,R,,,R,S,R,
85569_305,R,,,,S,R,,S,R,R,R,
85569_20,R,,,,S,R,,,R,R,R,
590_14910,S,S,,S,S,S,,,S,S,R,
590_12185,S,S,,S,S,S,,,S,S,R,
90371_5377,S,S,,S,S,S,,,R,S,,
54388_246,,,,,R,S,,,S,S,,
90370_3436,,,,,R,S,,,S,S,,
90370_4954,,,,,S,S,,,S,S,,
90370_2524,,,,S,R,S,,,S,S,,
85569_257,R,,,,S,R,,S,R,R,R,
192955_362,S,,,S,R,S,S,,S,S,S,
108619_178,S,S,,S,S,S,S,,S,S,S,
108619_172,R,R,,R,S,R,S,,R,R,R,
590_12448,S,S,,S,S,S,,,S,S,R,
59201_4079,,,S,S,R,S,,,S,S,,
90370_2731,,,,S,R,R,,,R,R,,
28901_16314,R,,,S,S,R,,,R,S,R,
57045_18,S,S,,S,S,S,S,,S,S,S,
85569_206,R,,,,S,R,,S,R,R,S,
90371_5466,S,,S,R,S,R,,,R,R,R,
90370_3455,,,,,R,S,,,S,S,,
590_12240,S,S,,S,S,S,,,S,S,R,
59201_4111,,,S,R,S,R,S,,R,R,,
590_12320,S,S,,S,S,S,,,R,S,R,
590_14977,S,S,,S,S,S,,,S,S,R,
90371_5341,S,S,,S,S,S,,,S,S,,
192955_413,R,,,S,R,R,S,,S,R,S,
590_15435,S,R,,R,S,S,,,R,R,R,
90370_4851,,,,,R,S,,,S,S,,
590_12624,S,S,,S,R,S,,,S,S,R,
108619_43,R,R,,R,S,R,,,R,R,R,
108619_96,R,R,,R,S,R,,,R,R,R,
28901_16293,R,,,S,S,R,,,R,S,R,
590_12437,S,S,,S,S,S,,,S,S,S,
28901_10147,S,,,S,R,,,,S,S,S,
590_12524,S,S,,S,S,S,,,S,S,R,
54388_281,S,,,,S,S,S,,S,S,S,
590_12611,S,S,,S,S,S,,,S,S,S,
90370_4942,,,,,R,S,,,S,S,,
90371_5410,S,S,,S,S,S,,,S,S,,
90370_2500,,,,S,R,S,,,S,S,,
90371_5435,S,S,,S,S,S,,,S,S,,
90370_2831,,,,S,R,R,,,R,R,,
54388_56,S,,,,S,S,S,,S,S,S,
54388_222,,,,,R,S,,,S,S,,
85569_248,R,,,,S,R,,S,R,R,R,
590_15899,S,S,,S,S,S,,,S,S,R,
90370_3617,R,S,S,R,R,R,S,,R,R,S,
90371_5244,R,S,,S,R,S,,,R,R,,
90370_5503,S,,S,S,R,S,S,,S,S,S,
363569_46,S,S,,S,S,S,S,,S,S,S,
90370_5498,S,,S,S,R,S,S,,S,S,S,
54388_215,,,,,R,S,,,S,S,,
90370_3111,,,,S,R,S,,,S,S,,
590_12384,S,S,,S,S,S,,,S,S,R,
90370_2950,,,,S,R,S,,,S,S,,
590_12312,S,S,,S,S,S,,,S,R,S,
90370_3155,,,,S,S,S,,,S,S,,
590_12566,S,S,,S,S,S,,,S,S,R,
90370_3156,,,,S,S,S,,,S,S,,
90371_5441,R,,S,R,R,R,,,R,R,R,
90370_4951,,,,,R,S,,,S,S,,
90370_2917,,,,S,R,,,,S,R,,
590_14776,S,R,,R,S,S,,,R,R,R,
59201_4146,,,S,R,R,R,R,,R,R,S,
90371_5430,S,S,,S,S,S,,,S,S,,
90370_2717,,,,S,R,R,,,R,R,,
28901_16260,S,,,S,,S,,,R,,,
90371_2487,R,R,,S,S,R,,,R,R,R,
90370_4829,,,,,R,S,,,S,S,,
85569_292,R,,,,S,R,,S,R,R,R,
28901_16261,S,,,S,,S,,,S,,,
90370_4108,S,,S,S,R,R,S,,R,R,S,
90370_3133,,,,S,R,S,,,S,S,,
90370_4970,,,,,R,S,,,S,S,,
28901_765,R,R,,S,S,R,S,,R,R,R,
90371_5475,S,,S,R,S,R,,,R,R,R,
90370_2544,,,,S,R,S,,,S,S,,
90370_2912,,,,S,R,S,,,S,R,,
54388_284,S,,,,S,S,S,,S,S,S,
28901_1846,S,S,,S,,S,,,S,S,S,
54388_25,S,,,,S,S,S,,S,S,S,
90370_2832,,,,S,R,R,,,R,R,,
90370_3572,,,,,R,S,,,S,S,,
149391_29,S,S,,S,S,S,S,,S,S,S,
590_12633,S,S,,S,S,S,,,R,S,R,
590_12433,S,S,,S,S,S,,,R,S,R,
598_33,S,S,,S,S,S,S,,S,S,S,
590_14623,S,S,,S,S,S,,,S,S,R,
90370_3104,,,,S,R,S,,,,S,,
90370_5478,S,,S,S,R,R,S,,R,R,R,
90371_5366,S,S,,S,S,R,,,S,R,,
28901_16252,S,,,S,,S,,,R,,,
192955_428,S,,,S,S,S,S,,S,S,S,
28901_780,R,S,,S,S,S,S,,R,S,R,
590_12275,S,S,,S,S,S,,,S,S,S,
28901_774,R,S,,S,S,R,S,,R,S,S,
90371_5491,S,,S,R,S,R,,,R,R,R,
90371_5429,R,S,,S,R,R,,,R,R,,
54388_253,,,,,R,S,,,S,S,,
90370_2722,,,,S,R,R,,,R,R,,
590_12306,S,S,,S,S,S,,,S,S,S,
590_13829,S,S,,S,R,R,,,S,S,R,
90370_3203,,,,S,S,S,,,S,S,,
90370_2880,,,,S,R,R,,,S,R,,
90370_3013,,,,S,R,S,,,S,S,,
58712_72,S,S,,S,S,S,S,,S,S,S,
90370_4912,,,,,R,S,,,S,S,,
590_12615,S,S,,S,S,S,,,S,S,R,
54388_323,S,,,,S,S,S,,S,S,S,
590_12063,S,S,,S,S,S,,,S,S,R,
590_12392,S,S,,S,S,S,,,S,S,R,
90370_3011,,,,S,R,S,,,S,S,,
85569_180,R,,,,S,R,,S,R,R,R,
85569_339,R,,,,S,R,,S,R,R,R,
59201_4125,,,S,S,S,S,S,,S,S,S,
90370_4085,S,,S,S,R,R,S,,R,R,S,
192955_361,S,,,S,R,S,S,,S,R,S,
590_15735,S,S,,S,S,S,,,S,S,R,
590_12269,S,S,,S,S,S,,,S,S,R,
90370_2758,,,,S,R,R,,,R,R,,
590_12268,S,S,,S,S,S,,,S,S,R,
85569_144,S,,,,S,S,,S,S,S,R,
590_12605,S,S,,S,S,S,,,R,S,R,
90370_2896,,,,S,R,R,,,S,R,,
90370_4941,,,,,R,S,,,S,S,,
108619_142,S,S,,S,S,S,S,,S,S,S,
85569_344,R,,,,S,R,,S,R,R,R,
590_15539,S,S,,S,S,S,,,S,S,R,
59201_4215,,,S,S,S,S,S,,S,S,S,
58712_60,S,S,,S,S,S,S,,S,S,R,
108619_158,S,S,,S,S,S,S,,S,S,S,
54388_409,S,,S,S,R,S,S,,S,S,S,
590_12505,S,S,,S,S,S,,,R,S,R,
54388_276,S,,,,S,S,S,,S,S,S,
90370_4117,S,,S,S,S,,S,,S,S,S,
90370_3169,,,,S,S,S,,,S,S,,
85569_202,S,,,,S,R,,S,R,S,S,
590_12315,S,S,,S,S,S,,,S,S,R,
85569_293,R,,,,R,R,,S,R,R,R,
58712_87,S,S,,S,S,S,S,,S,S,S,
90370_2991,,,,S,R,S,,,R,S,,
90370_3573,,,,,S,S,,,S,S,,
90370_3115,,,,S,R,S,,,S,S,,
192955_420,R,,,S,R,R,S,,S,S,R,
54388_387,S,,S,S,R,S,S,,S,S,S,
90370_2949,,,,S,R,S,,,S,S,,
85569_74,S,,,,S,S,,S,S,S,S,
590_16144,R,S,,S,S,S,,,S,S,R,
90370_2793,,,,S,R,R,,,R,R,,
90370_2930,,,,S,R,S,,,S,S,,
90370_3570,,,,,R,S,,,S,S,,
590_12474,S,S,,S,S,S,,,S,S,S,
590_12542,S,S,,S,S,S,,,S,S,R,
590_12286,S,S,,S,S,S,,,S,S,S,
192954_47,S,S,,S,S,S,S,,S,S,S,
590_12482,S,S,,S,S,S,,,S,S,R,
90370_2535,,,,S,R,S,,,R,S,,
90370_2516,,,,S,S,R,,,R,R,,
590_14116,S,S,,S,S,S,,,S,S,R,
590_12462,S,S,,S,S,S,,,S,S,S,
28901_21410,S,,S,S,S,S,S,,S,S,S,
54388_412,S,,S,S,R,S,S,,S,S,S,
90371_5275,S,S,,S,S,S,,,S,S,,
90370_2888,,,,S,R,R,,,S,R,,
590_15214,S,R,,R,S,S,,,R,R,R,
59201_4135,,,S,R,S,R,S,,R,R,S,
90371_5439,S,,S,S,S,R,,,R,S,S,
590_15106,S,R,,S,S,S,,,R,S,S,
590_14835,S,S,,S,S,S,,,S,S,R,
90370_3151,,,,S,S,S,,,S,S,,
90370_3501,,,,,R,S,,,S,S,,
59201_4210,,,S,S,S,S,S,,S,S,S,
90371_5438,S,,S,S,S,R,,,R,R,S,
590_12417,S,S,,S,S,S,,,R,R,R,
595_111,R,S,,R,R,R,,,R,S,R,
590_16757,S,S,,S,S,S,,,R,S,R,
90370_4901,,,,,R,S,,,S,S,,
590_12555,S,S,,S,S,S,,,S,S,R,
149539_1593,,S,S,S,S,S,,,S,,,
590_15036,R,S,,R,S,R,,,R,R,R,
28901_861,R,R,,R,R,R,S,,R,R,R,
85569_139,R,,,,S,R,,S,R,R,R,
90370_3495,,,,,R,S,,,S,S,,
59201_4137,,,S,S,S,S,S,,S,S,S,
590_12239,S,S,,S,S,S,,,S,S,S,
90370_3393,,,,,R,S,,,S,S,,
90371_2137,R,R,,S,S,R,,,R,R,R,
90370_4974,,,,,R,S,,,S,S,,
90370_2895,,,,S,R,R,,,S,R,,
28901_16300,R,,,S,S,R,,,R,S,R,
85569_371,R,,,,S,R,,S,R,R,R,
90370_3122,,,,S,R,S,,,S,S,,
28901_16306,R,,,S,S,R,,,R,S,R,
90370_2498,,,,S,R,S,,,S,S,,
590_12416,S,S,,S,S,S,,,R,S,R,
90370_5486,S,,S,S,R,S,S,,S,S,S,
399587_95,S,S,S,S,S,R,R,,R,S,R,
54388_381,S,,S,S,R,S,S,,S,S,S,
90370_3554,,,,,R,S,,,S,S,,
90370_3026,,,,S,R,S,,,S,S,,
90371_5516,S,,S,R,S,R,,,R,R,R,
149391_38,S,S,,S,S,S,S,,S,S,S,
595_124,R,S,,S,R,R,,,S,S,R,
90370_3535,,,,,R,S,,,S,S,,
85569_297,S,,,,S,S,,S,S,S,S,
590_12495,S,R,,R,S,S,,,R,S,R,
90371_2130,R,R,,R,S,R,,,R,R,R,
90370_3388,R,S,S,R,R,R,S,,R,R,S,
54388_318,S,,,,S,S,S,,S,S,S,
58712_95,S,S,,S,S,S,S,,S,S,R,
590_15050,R,S,,S,S,S,,,R,S,R,
590_17107,S,S,,S,S,S,,,R,S,R,
90370_3207,,,,S,S,S,,,S,S,,
90370_5518,S,,S,S,R,S,S,,S,S,S,
90370_2771,,,,S,R,R,,,R,R,,
90370_2772,,,,S,R,R,,,R,R,,
90370_4887,,,,,R,S,,,S,S,,
85569_36,R,,,,S,R,,,R,R,R,
108619_39,R,R,,R,S,R,,,R,R,R,
54388_405,S,,S,S,S,S,S,,S,S,S,
90370_3399,,,,,R,S,,,S,S,,
108619_95,R,R,,R,S,R,,,R,R,R,
590_12304,S,S,,S,S,S,,,S,S,S,
90371_5479,S,,S,S,S,R,,,R,R,S,
90370_2508,,,,S,S,S,,,S,S,,
90371_5304,R,R,,S,R,S,,,R,R,,
90370_2728,,,,S,R,R,,,R,R,,
90371_5412,S,S,,S,S,S,,,S,S,,
85569_166,S,,,,R,R,,S,R,S,S,
590_12309,S,S,,S,S,S,,,S,S,R,
28901_16312,R,,,S,S,R,,,R,S,R,
590_12070,S,S,,S,S,S,,,R,S,R,
90370_2952,,,,S,R,S,,,S,S,,
90370_2488,,,,S,R,S,,,S,S,,
90370_4132,S,,S,S,S,S,S,,S,S,S,
90370_3497,,,,,R,S,,,S,S,,
595_119,R,S,,S,R,R,,,S,S,R,
590_12483,S,S,,S,S,S,,,S,S,R,
90370_3395,,,,,R,S,,,S,S,,
85569_222,R,,,,S,S,,S,S,S,S,
90370_3432,,,,,R,S,,,S,S,,
90370_4801,,,,,R,S,,,S,S,,
90371_5492,S,,S,S,S,R,,,R,R,S,
590_12054,S,S,,S,S,S,,,S,S,R,
399587_64,S,S,S,S,S,R,S,,R,S,R,
85569_208,S,,,,S,S,,S,S,S,S,
54388_197,,,,,R,S,,,S,S,,
399587_61,S,S,S,S,S,R,S,,R,R,R,
90370_3401,,,,,R,S,,,S,S,,
90371_5306,S,S,,S,S,S,,,S,S,,
590_12477,S,S,,S,S,S,,,R,S,R,
90370_3464,,,,,R,S,,,S,S,,
28901_8433,,,,,S,S,,,,,,
90371_2141,S,R,,R,S,S,,,R,S,S,
90370_3505,,,,,R,S,,,S,S,,
590_12222,S,S,,S,S,S,,,R,S,R,
90371_6235,R,,,,,S,,,S,S,R,
90370_3030,,,,S,R,S,,,S,S,,
192955_355,R,,,S,R,R,S,,R,S,R,
590_12563,S,R,,R,S,S,,,R,S,R,
85569_302,R,,,,S,R,,S,R,R,R,
90370_4881,,,,,R,S,,,S,S,,
90371_2930,S,S,,S,S,S,S,,S,S,S,
85569_10,R,,,,S,R,,,R,R,R,
590_12068,S,S,,S,S,S,,,R,S,R,
28901_811,R,R,,R,S,S,S,,R,S,R,
590_14685,S,R,,S,S,S,,,R,R,R,
85569_213,R,,,,S,R,,S,R,R,R,
590_12485,S,S,,S,S,S,,,S,S,S,
90370_3084,,,,S,R,S,,,S,,,
90370_4827,,,,,R,S,,,S,S,,
85569_193,S,,,,S,S,,S,S,S,S,
90370_3478,,,,,R,R,,,R,R,,
90370_3483,,,,,R,S,,,S,S,,
85569_310,R,,,,S,R,,S,R,R,R,
90370_5553,,,,,R,,,,,,,
85569_376,R,,,,S,R,,S,R,R,R,
590_12308,S,S,,S,S,S,,,S,S,R,
590_16106,S,S,,S,S,S,,,S,R,R,
85569_33,R,,,,S,R,,,R,R,R,
90371_5361,S,S,,S,S,S,,,R,S,,
90371_5338,S,S,,S,S,R,,,S,S,,
590_12358,S,R,,R,S,S,,,R,S,R,
108619_156,S,S,,S,S,S,S,,S,S,S,
90371_5362,S,S,,S,S,S,,,R,S,,
90370_4945,,,,,R,S,,,S,S,,
54388_198,,,,,R,S,,,S,S,,
90370_3022,,,,S,R,S,,,S,S,,
90370_3143,,,,S,S,S,,,S,S,,
590_12345,S,S,,S,S,S,,,S,S,R,
85569_63,R,,,,R,R,,S,S,S,S,
28901_1851,S,R,,R,,S,,,R,S,R,
590_12516,S,S,,S,S,S,,,S,S,R,
595_148,S,S,,S,S,S,S,,S,S,S,
85569_58,R,,,,S,R,,S,R,R,R,
90370_3117,,,,S,R,S,,,S,S,,
85569_347,S,,,,S,S,,,S,S,S,
115981_59,S,S,,S,S,S,S,,S,S,S,
590_14330,S,R,,R,S,S,,,R,R,R,
90370_4949,,,,,R,S,,,S,S,,
28901_16263,S,,,S,,S,,,R,,,
28901_9235,,,,,S,S,,,S,,S,
590_14877,S,S,,S,S,S,,,S,S,R,
85569_239,R,,,,S,R,,S,R,R,R,
192955_429,R,,,S,S,R,S,,S,S,S,
90371_2937,S,S,,S,S,S,S,,S,S,S,
90370_2721,,,,S,R,R,,,R,R,,
85569_73,R,,,,S,R,,S,R,R,R,
108619_155,S,S,,S,S,S,S,,S,S,S,
90370_2507,,,,S,R,S,,,S,S,,
85569_52,R,,,,S,R,,S,R,R,R,
28901_850,R,R,,R,S,R,S,,R,R,R,
192955_395,S,,,S,R,S,S,,S,S,S,
90370_4973,,,,,R,S,,,S,S,,
59201_4077,,,S,S,R,S,,,S,S,,
28901_21068,,,S,R,R,R,,,R,,,
28901_8434,,,,,S,S,,,R,,,
90370_4891,,,,,R,S,,,S,S,,
590_12494,S,S,,S,S,S,,,S,S,S,
90371_5318,R,S,,S,R,R,,,R,R,,
28901_21070,,,S,R,R,R,,,R,,,
85569_102,S,,,,S,S,,S,S,S,S,
192955_443,R,,,S,R,R,S,,R,S,R,
90370_3439,,,,,R,S,,,S,S,,
54388_365,S,,S,S,R,S,S,,S,S,S,
85569_172,R,,,,S,R,,S,R,R,R,
90371_5302,R,R,,S,S,S,,,R,R,,
59201_4084,,,S,S,R,S,,,S,S,,
90370_5474,S,,S,S,R,S,S,,S,S,S,
90370_2827,,,,S,R,R,,,R,R,,
90370_2759,,,,S,R,R,,,R,R,,
90370_3578,,,,,R,S,,,S,S,,
90371_2485,R,S,,S,S,S,,,R,S,R,
590_15470,S,S,,S,S,S,,,R,S,R,
90370_2505,,,,S,R,R,,,R,R,,
90370_3544,,,,,R,R,,,R,R,,
90371_5413,S,R,,S,S,S,,,S,S,,
590_15949,R,S,,S,S,R,,,S,R,R,
28901_10085,R,S,,S,,R,,,S,S,R,
90370_2960,,,,S,R,S,,,R,S,,
90370_4798,,,,,R,S,,,S,S,,
108619_90,R,R,,R,S,R,,,R,R,R,
28901_10088,S,S,,S,,S,,,S,S,S,
85569_270,R,,,,S,R,,S,R,R,R,
590_17003,S,S,,S,S,S,,,S,S,R,
90370_4123,S,,,S,R,S,S,,S,S,S,
90370_3514,,,,,R,S,,,S,S,,
59201_4095,,,S,S,R,S,,,S,S,,
85569_228,S,,,,S,R,,S,R,S,S,
149391_26,R,R,,R,S,R,S,,R,S,S,
486990_8,S,S,,S,S,S,S,,S,S,S,
590_12453,S,S,,S,S,S,,,S,S,R,
46626_36,S,S,,S,S,S,S,,S,S,S,
590_12532,S,S,,S,S,S,,,S,S,S,
590_16308,S,R,,S,S,S,,,R,R,R,
90370_3571,,,,,R,S,,,S,S,,
598_30,S,S,,S,S,S,S,,S,S,S,
28901_10076,S,S,,S,,S,,,S,S,S,
90370_3442,,,,,R,S,,,S,S,,
108619_87,R,R,,R,S,R,,,R,R,R,
590_12628,S,S,,S,S,S,,,S,S,S,
90371_5469,S,,S,R,S,R,,,R,R,R,
590_14301,S,S,,S,S,S,,,S,S,R,
85569_155,R,,,,R,R,,S,R,R,R,
90371_5464,S,,S,R,S,R,,,R,S,S,
90370_595,S,,,,S,S,,,S,S,S,
28901_10087,S,S,,S,,R,,,S,S,R,
90370_4112,S,,S,S,S,S,S,,S,S,S,
590_12439,S,S,,S,S,S,,,S,S,R,
90370_2776,,,,S,R,R,,,R,R,,
90370_3189,,,,S,S,S,,,S,S,,
90370_5519,S,,,S,R,R,S,,R,R,R,
54388_313,S,,,,S,S,S,,S,S,S,
90370_2513,,,,S,R,S,,,S,R,,
59201_4116,,,S,R,R,R,S,,R,R,S,
90370_4819,,,,,R,S,,,S,S,,
595_155,S,S,,S,S,S,S,,S,S,S,
85569_312,R,,,,S,R,,S,R,R,R,
90370_4916,,,,,R,S,,,S,S,,
85569_217,R,,,,S,R,,S,R,R,R,
90371_5308,R,S,,S,R,R,,,R,R,,
90370_2780,,,,S,R,R,,,R,R,,
590_12352,S,S,,S,S,S,,,S,S,R,
590_17038,S,S,,S,S,S,,,S,S,R,
590_12294,S,S,,S,S,S,,,S,S,S,
85569_80,R,,,,S,R,,S,R,R,R,
54388_391,S,,S,S,R,S,S,,S,S,S,
90371_5458,R,,S,R,R,R,,,R,R,R,
85569_337,R,,,,S,R,,S,R,R,R,
1151179_4,S,S,,S,S,S,S,,S,S,S,
590_12591,S,S,,S,S,S,,,S,S,S,
54388_22,S,,,,S,S,S,,S,S,S,
54388_380,S,,S,S,S,S,S,,S,S,S,
90370_3129,,,,S,R,S,,,S,S,,
90370_4849,,,,,R,S,,,S,S,,
90370_4848,,,,,R,S,,,S,S,,
90370_2754,,,,S,R,R,,,R,R,,
90370_2973,,,,S,R,S,,,R,S,,
85569_279,R,,,,S,R,,S,R,R,R,
90370_2815,,,,S,R,R,,,R,R,,
590_15510,S,S,,S,S,S,,,S,S,R,
590_12520,S,S,,S,S,S,,,S,S,R,
590_12423,S,S,,S,S,S,,,S,S,R,
58095_48,R,S,,R,S,R,R,,R,R,R,
28901_777,S,S,,S,S,R,S,,R,S,R,
590_12254,S,S,,S,S,S,,,R,S,R,
590_12387,S,S,,S,S,S,,,S,S,S,
90370_2857,,,,S,R,R,,,R,R,,
598_27,S,S,,S,S,S,S,,S,S,S,
90370_4944,,,,,R,S,,,S,S,,
399587_70,S,S,S,S,S,R,R,,R,R,R,
90370_3530,,,,,R,S,,,S,S,,
90370_3204,,,,S,S,S,,,S,S,,
149391_43,S,S,,S,S,S,S,,S,S,S,
85569_319,R,,,,S,R,,S,R,R,R,
90370_3507,,,,,R,S,,,S,S,,
85569_309,R,,,,S,S,,S,R,R,R,
590_14270,S,S,,S,S,S,,,S,R,R,
90371_6227,R,,,,,S,,,R,S,,
90371_896,R,,,,S,R,,,R,S,,
90370_2802,,,,S,R,R,,,R,R,,
590_16995,S,S,,S,S,S,,,S,S,R,
90371_5360,R,R,,S,R,S,,,R,R,,
590_12288,S,S,,S,S,S,,,S,S,R,
90371_2933,S,S,,S,S,S,S,,S,S,S,
90370_3096,,,,S,R,S,,,S,S,,
85569_342,R,,,,S,R,,S,S,S,S,
90370_5480,S,,S,S,R,S,S,,S,S,S,
90370_3477,,,,,R,S,,,S,S,,
28901_770,R,S,,S,S,R,S,,R,S,R,
590_12250,S,S,,S,S,S,,,S,S,S,
28901_21085,,,S,R,R,R,,,R,,,
90371_898,S,,,,R,S,,,R,R,,
28901_8429,,,,S,,S,,,S,,,
90371_6226,R,,,,,R,,,S,R,S,
58712_66,S,S,,S,S,S,S,,S,S,S,
90370_3006,,,,S,R,S,,,S,S,,
54388_214,,,,,R,S,,,S,S,,
90371_5433,S,S,,S,R,R,,,R,R,,
90370_262,S,,,,S,S,,,S,S,S,
590_12475,S,S,,S,S,S,,,S,S,R,
90371_902,R,,,,S,R,,,R,R,,
90370_4893,,,,,R,S,,,S,S,,
90370_3582,,,,,R,R,,,R,R,,
90370_2707,,,,S,R,R,,,R,R,,
590_14252,S,S,,S,S,S,,,S,S,R,
59201_4134,,,S,R,S,R,S,,R,R,S,
85569_37,S,,,,S,S,,,S,S,R,
108619_152,S,S,,S,S,S,S,,S,S,S,
590_14013,S,S,,S,S,S,,,S,S,R,
90370_2473,,,,S,R,R,,,R,R,,
590_14316,S,S,,S,S,S,,,S,S,R,
90370_4830,,,,,R,S,,,S,S,,
90370_3498,,,,,R,S,,,S,S,,
85569_294,R,,,,S,R,,S,R,R,R,
90370_4923,,,,,S,S,,,S,S,,
590_16667,S,S,,S,S,S,,,S,R,R,
590_12419,S,S,,S,S,S,,,S,S,R,
54388_386,S,,S,S,R,S,S,,S,S,S,
85569_153,R,,,,S,R,,S,R,R,R,
85569_241,R,,,,R,R,,S,R,R,R,
90370_2823,,,,S,R,R,,,R,R,,
115981_57,S,S,,S,S,S,S,,S,S,S,
90370_2947,,,,S,R,S,,,S,S,,
590_14001,S,S,,S,S,S,,,S,S,R,
590_13946,R,R,,R,S,S,,,R,R,R,
58712_96,S,S,,S,S,S,S,,S,S,S,
90370_3067,,,,S,R,S,,,S,S,,
90370_2828,,,,S,R,R,,,R,R,,
590_12490,S,S,,S,S,S,,,S,S,R,
85569_90,S,,,,S,R,,S,S,S,S,
363569_43,S,S,,S,S,S,S,,S,S,S,
90370_3397,,,,,R,S,,,S,S,,
54388_202,,,,,R,S,,,S,S,,
90370_5496,S,,S,S,R,R,S,,R,R,R,
85569_94,R,,,,R,R,,S,R,R,R,
85569_242,R,,,,S,R,,S,R,R,R,
85569_59,R,,,,S,R,,R,R,R,R,
595_139,S,S,,S,S,S,S,,S,S,S,
90371_5487,S,,S,R,S,R,,,R,R,R,
90370_3003,,,,S,R,S,,,S,S,,
90370_3562,,,,,R,S,,,S,S,,
90370_2541,,,,S,R,R,,,R,R,,
590_12546,S,S,,S,S,S,,,S,S,S,
590_14194,S,S,,S,S,S,,,S,S,R,
90371_5269,R,R,,S,R,R,,,R,S,,
90370_3138,,,,S,R,S,,,S,S,,
590_12224,S,S,,S,S,S,,,S,S,R,
590_13722,S,R,,R,S,S,,,R,R,R,
85569_126,R,,,,R,R,,S,R,S,R,
54388_287,S,,,,S,S,S,,S,S,S,
90370_3186,,,,S,S,S,,,S,S,,
399587_54,S,S,S,S,S,R,S,,R,R,R,
590_16859,S,S,,S,S,S,,,S,S,R,
90370_2984,,,,S,R,S,,,R,S,,
90370_2519,,,,S,R,R,,,R,R,,
90370_4865,,,,,R,S,,,S,S,,
590_12425,R,R,,R,S,S,,,R,S,R,
90370_2739,,,,S,R,R,,,R,R,,
595_150,S,S,,S,S,R,S,,S,S,R,
590_12213,S,S,,S,S,S,,,S,S,S,
90370_2986,,,,S,R,S,,,R,S,,
