sseqid,IS1016@IS1595@IS1016,IS1301@IS5@IS427,IS1655@IS30@nan,ISNg1@IS3@IS150,ISNgo2@IS110@nan,ISNgo3@IS110@nan
485_13512,1,0,0,1,0,1
485_13513,1,0,0,1,0,1
485_13514,1,0,0,1,0,1
485_13515,1,0,0,1,0,1
485_13516,1,0,0,0,0,0
485_13517,1,0,0,1,0,0
485_13518,1,0,0,1,0,0
485_13519,1,0,0,1,0,1
485_13520,1,0,0,1,0,0
485_13521,1,0,0,0,0,0
485_13522,1,0,0,0,0,1
485_13523,1,0,0,1,0,0
485_13524,1,0,0,0,0,1
485_13525,1,0,0,1,0,1
485_13526,1,0,0,1,0,1
485_13527,1,0,0,1,0,0
485_13528,1,0,0,1,0,0
485_13529,1,0,0,0,0,1
485_13530,1,0,0,0,0,1
485_13531,1,0,0,0,0,0
485_13532,1,0,0,1,0,1
485_13533,0,0,0,1,0,0
485_13534,1,0,0,0,0,1
485_13535,1,0,0,0,0,1
485_13537,1,0,0,1,0,1
485_13538,1,0,0,1,0,1
485_13539,1,0,0,0,0,1
485_13540,1,0,0,1,0,1
485_13542,1,0,0,1,1,1
485_13543,1,0,0,0,0,0
485_13545,0,0,0,0,0,1
485_13546,1,0,0,0,0,1
485_13547,1,0,0,0,0,1
485_13548,1,0,0,0,0,1
485_13549,1,0,0,1,0,1
485_13550,1,0,0,1,0,1
485_13551,1,0,0,0,0,1
485_13552,1,0,0,1,0,0
485_13553,0,0,0,0,0,1
485_13554,1,0,0,1,0,1
485_13555,1,0,0,0,0,1
485_13556,1,0,0,0,0,1
485_13557,1,0,0,1,0,1
485_13558,1,0,0,1,0,0
485_13559,1,0,0,0,0,1
485_13560,1,0,0,1,0,0
485_13561,1,0,0,1,0,0
485_13562,1,0,0,0,0,0
485_13563,0,0,0,0,0,1
485_13564,1,0,0,0,0,1
485_13565,1,0,0,0,0,1
485_13566,1,0,0,0,0,1
485_13567,1,0,0,1,0,1
485_13568,1,0,0,0,0,1
485_13569,1,0,0,0,0,1
485_13570,1,0,0,1,0,0
485_13571,1,0,0,1,0,1
485_13572,1,0,0,0,0,0
485_13573,1,0,0,1,0,1
485_13574,0,0,0,1,0,1
485_13575,0,0,0,0,0,1
485_13576,1,0,0,0,0,0
485_13577,1,0,0,0,0,1
485_13578,1,0,0,0,0,1
485_13579,1,0,1,1,0,1
485_13580,1,0,0,0,0,1
485_13581,1,0,0,0,0,0
485_13586,1,0,0,1,0,1
485_13591,1,0,0,1,0,1
485_13594,1,0,0,0,0,1
485_13595,1,0,1,1,0,1
485_13596,1,0,1,1,0,1
485_13597,1,0,0,1,0,1
485_13598,1,0,0,0,0,1
485_13599,1,0,0,0,0,1
485_136,1,0,0,1,0,1
485_13600,1,0,0,0,0,1
485_13601,1,0,0,0,0,0
485_13602,1,0,0,0,0,1
485_13603,1,0,0,1,1,0
485_13604,1,0,0,1,0,1
485_13605,1,0,0,1,0,0
485_13606,1,0,0,1,0,0
485_13607,1,0,0,1,0,1
485_13608,1,0,0,1,0,1
485_13609,1,0,0,1,0,1
485_13610,1,0,0,0,0,1
485_13611,1,0,0,0,0,1
485_13612,1,0,0,1,0,1
485_13613,1,0,0,1,0,0
485_13614,1,0,0,0,0,1
485_13615,0,0,0,0,0,1
485_13616,1,0,1,1,0,1
485_13617,1,0,0,0,0,1
485_13618,1,0,1,1,0,0
485_13619,0,0,0,1,0,1
485_13620,1,0,0,0,0,1
485_13621,1,0,0,0,0,1
485_13622,1,0,0,0,0,0
485_13623,1,0,0,1,0,1
485_13633,1,0,0,1,0,1
485_13634,1,0,0,1,1,0
485_13636,1,0,0,0,0,1
485_13637,1,0,0,0,0,1
485_13638,1,0,0,1,0,0
485_13639,0,0,0,0,0,1
485_13640,0,0,0,1,0,0
485_13641,1,0,0,0,0,1
485_13642,1,0,0,1,0,1
485_13643,1,0,0,1,1,0
485_13644,1,0,0,1,1,0
485_13654,1,0,0,0,0,0
485_13656,1,0,0,1,0,1
485_13657,1,0,0,0,0,0
485_13658,1,0,0,0,0,1
485_13659,1,0,0,0,0,1
485_13660,1,0,0,0,0,1
485_13661,1,0,0,0,0,1
485_13662,1,0,0,1,0,0
485_13663,1,0,0,1,0,1
485_13664,1,0,0,1,0,1
485_13665,1,0,0,1,0,1
485_13666,1,0,0,1,0,1
485_13667,1,0,0,1,0,1
485_13668,1,0,0,1,0,1
485_13669,1,0,0,0,0,1
485_13670,1,0,0,1,1,1
485_13671,0,0,0,1,1,0
485_13672,1,0,0,1,0,0
485_13673,1,0,0,0,0,1
485_13674,1,0,0,1,0,1
485_13675,1,0,0,0,0,1
485_13676,1,0,1,1,0,0
485_13677,1,0,0,0,0,1
485_13679,1,0,0,1,0,0
485_13680,1,0,0,0,0,1
485_13683,1,0,0,1,0,1
485_137,0,0,0,1,1,1
485_13704,1,0,0,1,0,1
485_13705,1,0,0,1,0,0
485_13706,1,0,0,0,0,1
485_13707,1,0,0,0,0,1
485_13708,1,0,0,0,0,1
485_13709,1,0,0,0,0,1
485_13710,1,0,0,1,0,0
485_13711,1,0,1,0,0,1
485_13712,1,0,0,1,0,1
485_13714,1,0,0,1,0,1
485_13716,1,0,0,1,0,1
485_13717,1,0,0,0,0,1
485_13718,1,0,0,0,0,1
485_13720,1,0,0,0,0,1
485_13721,1,0,0,1,0,1
485_13723,1,0,0,0,0,1
485_13724,0,0,0,0,0,1
485_13725,1,0,0,0,0,0
485_13726,1,0,0,0,0,1
485_13727,1,0,0,0,1,1
485_13728,1,0,0,1,0,1
485_13729,0,0,0,0,0,1
485_13730,1,0,0,1,0,1
485_13731,1,0,0,0,0,1
485_13732,1,0,0,1,0,1
485_13733,1,0,0,0,0,1
485_13734,1,0,0,0,1,1
485_13735,1,0,0,0,0,1
485_13736,1,0,0,0,0,0
485_13737,1,0,0,1,0,0
485_13738,1,0,0,0,0,1
485_13739,1,0,0,0,0,0
485_13740,1,0,0,0,0,1
485_13741,1,0,1,0,0,1
485_13742,1,0,0,1,1,1
485_13743,1,0,0,0,0,1
485_13744,1,0,0,1,0,0
485_13765,1,0,0,0,0,0
485_13766,1,0,0,0,0,1
485_13767,1,0,0,0,0,1
485_13768,1,0,0,0,0,1
485_13769,1,0,0,0,0,1
485_13771,1,0,0,0,0,1
485_13774,1,0,0,0,0,1
485_13775,1,0,0,0,0,1
485_13781,1,0,0,1,0,1
485_138,1,0,0,1,1,1
485_13802,1,0,0,0,0,1
485_13803,0,0,0,1,0,0
485_13805,1,0,0,0,0,1
485_13806,1,0,0,1,0,0
485_13807,0,0,0,0,0,1
485_13808,1,0,0,0,0,1
485_13809,0,0,0,0,0,1
485_13810,1,0,0,0,0,1
485_13811,1,0,0,1,0,0
485_13812,1,0,0,1,0,0
485_13813,1,0,0,0,0,1
485_13814,1,0,0,0,0,1
485_13815,0,0,0,1,0,1
485_13816,1,0,0,1,0,1
485_13817,1,0,0,1,0,0
485_13818,1,0,0,0,0,1
485_13820,1,0,0,1,0,1
485_13821,1,0,0,0,0,1
485_13822,1,0,0,1,0,0
485_13823,1,0,0,1,1,0
485_13824,1,0,0,0,0,1
485_13826,1,0,0,0,0,1
485_13827,1,0,0,0,0,1
485_13828,1,0,0,0,1,1
485_13829,1,0,0,1,1,1
485_13830,1,0,0,1,0,1
485_13831,1,0,0,0,0,0
485_13833,1,0,0,0,0,1
485_13837,1,0,0,0,0,1
485_13838,0,0,0,0,0,1
485_13839,1,0,0,0,0,1
485_13840,0,0,0,0,0,1
485_13841,0,0,0,0,0,1
485_13843,1,0,0,0,0,1
485_13844,1,0,0,0,0,0
485_13845,1,0,0,0,0,1
485_13846,1,0,0,1,0,1
485_13847,0,0,0,0,0,1
485_13864,1,0,0,1,0,1
485_13866,1,0,0,0,0,1
485_13867,1,0,0,0,0,0
485_13868,0,0,0,1,1,1
485_13869,1,0,0,0,1,1
485_13870,1,0,0,0,0,1
485_13871,1,0,0,0,0,1
485_13872,1,0,0,0,0,1
485_13873,1,0,0,0,1,1
485_13874,1,0,0,1,0,1
485_13875,1,0,0,1,0,0
485_13876,1,0,0,0,0,1
485_13877,1,0,0,0,0,1
485_13878,1,0,0,0,0,1
485_13879,1,0,0,0,0,1
485_13880,1,0,0,1,0,0
485_13881,1,0,0,0,0,1
