Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster
485_9261,2014,United Kingdom,Human,Human,Human,GBR,470
485_4467,2013,USA,Human,Human,Human,USA,1
485_16631,2017,Australia,Human,,,AUS,1020
485_773,2010,Canada,Human,Human,Human,CAN,1
485_16525,2017,Australia,Human,,,AUS,8
485_5355,2013,United Kingdom,Human,Human,Human,GBR,2
485_582,2013,Canada,Human,Human,Human,CAN,1
485_14810,2017,Australia,Human,,,AUS,21
485_8998,2013,United Kingdom,Human,Human,Human,GBR,16
485_5260,2013,Netherlands,Human,Human,Human,NLD,6
485_13816,2017,Australia,Human,,,AUS,2
485_151,2010,USA,Human,Human,Human,USA,1
485_3669,2012,USA,Human,Human,Human,USA,2
485_14802,2017,Australia,Human,,,AUS,9
485_8383,2015,United Kingdom,Human,Human,Human,GBR,2
485_13360,2017,Australia,Human,,,AUS,12
485_4041,2012,USA,Human,Human,Human,USA,343
485_17550,2017,Australia,Human,,,AUS,21
485_9283,2015,United Kingdom,Human,Human,Human,GBR,23
485_15599,2017,Australia,Human,,,AUS,10
485_8743,2015,United Kingdom,Human,Human,Human,GBR,254
485_6986,2015,New Zealand,Human,Human,Human,NZL,8
485_3753,2013,USA,Human,Human,Human,USA,6
485_4504,2012,USA,Human,Human,Human,USA,25
485_16699,2017,Australia,Human,,,AUS,1019
485_696,1996,Canada,Human,Human,Human,CAN,661
485_14466,2017,Australia,Human,,,AUS,5
485_14855,2017,Australia,Human,,,AUS,13
485_14244,2017,Australia,Human,,,AUS,17
485_9649,2006,Australia,Human,Human,Human,AUS,3
485_13124,2017,Australia,Human,,,AUS,15
485_9216,2015,United Kingdom,Human,Human,Human,GBR,15
485_8416,2013,United Kingdom,Human,Human,Human,GBR,67
485_9103,2014,United Kingdom,Human,Human,Human,GBR,36
485_15563,2017,Australia,Human,,,AUS,5
485_3861,2013,USA,Human,Human,Human,USA,16
485_13723,2017,Australia,Human,,,AUS,7
485_5422,2013,Malta,Human,Human,Human,MLT,308
485_16526,2017,Australia,Human,,,AUS,3
485_13987,2017,Australia,Human,,,AUS,13
485_9416,2014,United Kingdom,Human,Human,Human,GBR,10
485_4243,2012,USA,Human,Human,Human,USA,1
