Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster,,,,,,
1717_1002,2017,Mayotte,Human,,,MYT,178,,,,,,
1717_1003,2017,New Caledonia,Human,,,NCL,42,,,,,,
1717_1033,2012,France,Human,,,FRA,164,,,,,,
1717_980,2016,France,Human,,,FRA,51,,,,,,
1717_957,2016,France,Human,,,FRA,63,,,,,,
1717_810,1996,Thailand,Human,,,THA,152,,,,,,
1717_961,2016,France,Human,,,FRA,19,,,,,,
1717_896,2012,Mayotte,Human,,,MYT,95,,,,,,
1717_802,1991,France,Human,,,FRA,10,,,,,,
1717_1020,2017,French Guiana,Human,,,GUF,39,,,,,,
1717_975,2016,France,Human,,,FRA,53,,,,,,
1717_926,2015,New Caledonia,Human,,,NCL,82,,,,,,
1717_913,2013,Guadeloupe,Human,,,GLP,89,,,,,,
1717_792,1983,France,Human,,,FRA,163,,,,,,
1717_958,2016,France,Human,,,FRA,62,,,,,,
1717_1005,2017,New Caledonia,Human,,,NCL,2,,,,,,
1717_823,1993,Gambia,Human,,,GMB,142,,,,,,
1717_900,2012,Mayotte,Human,,,MYT,23,,,,,,
1717_893,2012,Wallis and Futuna,Human,,,WLF,97,,,,,,
1717_847,1997,Italy,Human,,,ITA,124,,,,,,
1717_998,2017,New Caledonia,Human,,,NCL,44,,,,,,
1717_806,1994,Germany,Human,,,DEU,155,,,,,,
1717_1015,2017,Mayotte,Human,,,MYT,40,,,,,,
1717_945,2015,France,Human,,,FRA,72,,,,,,
1717_1008,2017,New Caledonia,Human,,,NCL,13,,,,,,
1717_804,1970,France,Human,,,FRA,156,,,,,,
1717_870,2008,Mayotte,Human,,,MYT,27,,,,,,
1717_827,1993,France,Human,,,FRA,140,,,,,,
1717_916,2014,France,Human,,,FRA,22,,,,,,
1717_972,2016,France,Human,,,FRA,54,,,,,,
1717_800,1986,France,Human,,,FRA,157,,,,,,
1717_835,1999,France,Human,,,FRA,134,,,,,,
1717_884,2011,France,Human,,,FRA,103,,,,,,
1717_789,2002,New Caledonia,Human,,,NCL,1,,,,,,
1717_1011,2017,France,Human,,,FRA,173,,,,,,
1717_930,2015,Mayotte,Human,,,MYT,21,,,,,,
1717_999,2017,New Caledonia,Human,,,NCL,43,,,,,,
1717_978,2016,New Caledonia,Human,,,NCL,2,,,,,,
1717_850,1994,Germany,Human,,,DEU,121,,,,,,
1717_996,2017,New Caledonia,Human,,,NCL,46,,,,,,
1717_1017,2017,Mayotte,Human,,,MYT,169,,,,,,
1717_937,2015,France,Human,,,FRA,4,,,,,,
1717_875,2009,Mayotte,Human,,,MYT,8,,,,,,
1717_843,1993,Australia,Human,,,AUS,126,,,,,,
1717_941,2015,France,Human,,,FRA,74,,,,,,
1717_946,2015,France,Human,,,FRA,71,,,,,,
1717_997,2017,France,Human,,,FRA,45,,,,,,
1717_925,2015,France,Human,,,FRA,83,,,,,,
1717_796,1985,France,Human,,,FRA,159,,,,,,
1717_886,2011,France,Human,,,FRA,101,,,,,,
1717_982,2016,France,Human,,,FRA,17,,,,,,
1717_885,2011,France,Human,,,FRA,102,,,,,,
1717_971,2016,France,Human,,,FRA,55,,,,,,
1717_841,1995,Australia,Human,,,AUS,128,,,,,,
1717_790,2003,New Caledonia,Human,,,NCL,1,,,,,,
1717_803,1994,Algeria,Human,,,DZA,34,,,,,,
1717_917,2014,France,Human,,,FRA,27,,,,,,
1717_1000,2017,Madagascar,Human,,,MDG,180,,,,,,
1717_894,2012,Wallis and Futuna,Human,,,WLF,96,,,,,,
1717_989,2017,France,Human,,,FRA,15,,,,,,
1717_986,2016,France,Human,,,FRA,49,,,,,,
1717_871,2008,Mayotte,Human,,,MYT,4,,,,,,
1717_809,1995,Russian Federation,Human,,,RUS,153,,,,,,
1717_911,2012,Mayotte,Human,,,MYT,91,,,,,,
1717_976,2016,New Caledonia,Human,,,NCL,2,,,,,,
1717_821,1994,Germany,Human,,,DEU,143,,,,,,
1717_1021,2017,French Guiana,Human,,,GUF,39,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
