Genome ID,amoxicillin,beta-lactam,cefepime,cefotaxime,ceftriaxone,cefuroxime,chloramphenicol,clindamycin,erythromycin,levofloxacin,linezolid,meropenem,penicillin,quinupristin_dalfopristin,tetracycline,trimethoprim_sulfamethoxazole,vancomycin
1313_31491,,,,,,,S,,S,,,,S,,R,R,
1313_31705,,,,,,,S,,S,,,,S,,S,S,
1313_32525,,,,,,,S,,R,,,,R,,R,R,
1313_30802,,,,,,,S,,S,,,,S,,S,S,
1313_27163,,,,,,,S,,S,,,,S,,R,R,
1313_32953,,,,,,,,,S,,,,S,,R,R,
1313_33703,,,,,,,S,,R,,,,S,,R,R,
1313_25649,,,,,,,S,,S,,,,R,,R,R,
1313_33883,,,,,,,S,,R,,,,R,,R,R,
1313_25643,,,,,,,,,,,,,,,,S,
1313_30714,,,,,,,R,,S,,,,R,,R,R,
1313_33271,,,,,,,S,,S,,,,S,,R,S,
1313_25673,,,,,,,S,,S,,,,S,,R,R,
1313_27361,,,,,,,S,,S,,,,S,,S,S,
1313_10250,,R,,,S,,,,,,,,,,,R,
1313_12745,,R,,,S,,,,,,,,,,,R,
1313_33972,,,,,,,S,,R,,,,S,,S,R,
1313_25684,,,,,,,S,,S,,,,R,,R,R,
1313_27006,,,,,,,S,,S,,,,S,,R,S,
1313_6369,,,,S,,,S,,,,,,,,R,,
1313_26081,,,,,,,,,R,,,,R,,R,R,
1313_6567,,,,,S,,S,,R,,,,,,R,,
1313_12863,,S,,,S,,,,,,,,,,,R,
1313_23596,,,,,,,S,,S,,,,S,,S,R,
1313_31861,,,,,,,S,,R,,,,S,,R,R,
1313_32931,,,,,,,,,S,,,,S,,R,,
1313_25371,,,,,,,S,,S,,,,S,,S,R,
1313_12090,,S,,,S,,,,,,,,,,,R,
1313_47093,,,,,S,,S,S,S,S,,,,,S,S,
1313_47252,,,,,S,,S,S,R,S,,,,,S,S,
1313_25288,,,,,,,S,,R,,,,R,,R,R,
1313_25971,,,,,,,,,S,,,,S,,R,,
1313_33359,,,,,,,S,,R,,,,R,,R,R,
1313_33740,,,,,,,S,,S,,,,S,,R,R,
1313_23400,,,,,,,S,,S,,,,S,,S,S,
1313_24286,,,,,,,S,,S,,,,S,,R,,
1313_33103,,,,,,,S,,S,,,,S,,R,S,
1313_31603,,,,,,,,,R,,,,S,,,,
1313_34156,,,,,,,S,,S,,,,S,,S,S,
760801_3,R,,,S,S,R,S,R,R,S,S,R,R,S,R,R,S
1313_20238,,,,,,,S,,S,,,,R,,R,S,
1313_33298,,,,,,,S,,R,,,,S,,R,R,
1313_30522,,,,,,,,,S,,,,S,,,,
1313_11059,,S,,,S,,,,,,,,,,,S,
1313_32711,,,,,,,S,,R,,,,S,,R,R,
1313_31789,,,,,,,S,,S,,,,S,,S,S,
1313_9331,,,,,,,S,,S,,,,S,,S,S,
1313_23404,,,,,,,S,,S,,,,S,,S,R,
1313_32502,,,,,,,S,,S,,,,R,,R,R,
1313_24992,,,,,,,,,R,,,,S,,R,R,
1313_32797,,,,,,,S,,S,,,,S,,S,S,
1313_24030,,,,,,,S,,S,,,,R,,R,S,
1313_7012,S,,,S,S,,S,S,S,S,S,S,S,,,S,S
1313_31272,,,,,,,S,,S,,,,,,S,R,
1313_30790,,,,,,,S,,S,,,,R,,S,R,
1313_27334,,,,,,,S,,R,,,,R,,R,R,
1313_24530,,,,,,,R,,S,,,,S,,R,R,
1313_21732,,,,,,,,,S,,,,S,,R,R,
1313_32229,,,,,,,S,,S,,,,S,,R,S,
1313_33255,,,,,,,,,R,,,,S,,R,R,
1313_34166,,,,,,,S,,S,,,,S,,S,S,
1313_6526,,,,,S,,S,,S,,,,,,S,,
1313_34364,,,,,,,R,,R,,,,S,,,,
1313_47026,,,,,R,,R,R,R,S,,,,,R,R,
1313_12618,,R,,,R,,,,,,,,,,,R,
1313_34325,,,,,,,R,,R,,,,S,,R,R,
1313_46974,,,,,S,,S,S,S,S,,,,,S,S,
1313_27158,,,,,,,S,,S,,,,S,,R,R,
1313_6219,,,,,,,,,S,,,,,,,,
1313_12010,,R,,,S,,,,,,,,,,,R,
1313_22097,,,,,,,,,S,,,,S,,S,S,
1313_30278,,,,,,,S,,S,,,,S,,R,S,
1313_23207,,,,,,,,,R,,,,S,,,,
1313_10079,,R,,,S,,,,,,,,,,,R,
1313_33431,,,,,,,S,,S,,,,S,,S,S,
1313_27341,,,,,,,S,,S,,,,R,,S,R,
1313_27950,,,,,,,S,,R,,,,S,,S,S,
1313_12418,,S,,,S,,,,,,,,,,,R,
1313_34350,,,,,,,S,,R,,,,R,,R,R,
1313_34348,,,,,,,R,,R,,,,R,,R,R,
1313_32704,,,,,,,,,,,,,,,,S,
1313_27368,,,,,,,S,,S,,,,S,,S,S,
1313_24545,,,,,,,S,,S,,,,S,,S,S,
1313_25595,,,,,,,,,R,,,,,,R,R,
1313_23025,,,,,,,S,,S,,,,S,,R,,
1313_5913,,,,,S,,S,,R,,,,,,R,,
1313_30677,,,,,,,S,,R,,,,,,,R,
1313_30741,,,,,,,S,,S,,,,S,,S,R,
1313_33544,,,,,,,S,,S,,,,S,,S,S,
1313_25341,,,,,,,S,,S,,,,S,,S,S,
1313_11343,,R,,,S,,,,,,,,,,,R,
1313_26818,,,,,,,S,,S,,,,S,,R,S,
1313_26940,,,,,,,S,,S,,,,R,,S,S,
1313_23508,,,,,,,S,,S,,,,S,,S,R,
1313_22091,,,,,,,,,S,,,,S,,S,S,
1313_33278,,,,,,,S,,S,,,,S,,R,S,
1313_33400,,,,,,,S,,S,,,,S,,S,S,
1313_12632,,R,,,S,,,,,,,,,,,R,
1313_27217,,,,,,,S,,S,,,,S,,S,R,
1313_31042,,,,,,,S,,S,,,,,,R,S,
1313_30825,,,,,,,S,,S,,,,R,,S,R,
1313_6004,,,,,S,,,,S,,,,,,,,
1313_23165,,,,,,,,,S,,,,S,,,,
1313_25276,,,,,,,S,,S,,,,S,,R,,
1313_27454,,,,,,,S,,S,,,,S,,S,S,
1313_20992,,,,,,,S,,S,,,,R,,S,S,
1313_32819,,,,,,,S,,R,,,,S,,S,S,
1313_27385,,,,,,,S,,S,,,,S,,R,R,
1313_12147,,S,,,S,,,,,,,,,,,R,
1313_26890,,,,,,,S,,S,,,,S,,S,R,
1313_46621,,,,,S,,S,S,S,S,,,,,S,S,
1313_33443,,,,,,,S,,S,,,,S,,S,S,
1313_12389,,S,,,S,,,,,,,,,,,R,
1313_26689,,,,,,,S,,R,,,,S,,S,R,
1313_6677,,,,R,,,S,,R,,,,,,R,,
1313_26164,,,,,,,S,,S,,,,R,,R,R,
1313_33289,,,,,,,,,R,,,,S,,R,R,
1313_31056,,,,,,,S,,S,,,,R,,S,R,
1313_25278,,,,,,,S,,R,,,,R,,R,,
1313_33342,,,,,,,S,,S,,,,S,,R,S,
1313_27252,,,,,,,S,,S,,,,S,,R,S,
1313_27143,,,,,,,S,,S,,,,S,,R,S,
1313_24581,,,,,,,S,,R,,,,R,,R,R,
1313_10060,,R,,,S,,,,,,,,,,,R,
1313_31725,,,,,,,S,,S,,,,S,,S,R,
1313_34161,,,,,,,S,,R,,,,S,,S,R,
1313_24880,,,,,,,S,,S,,,,S,,R,R,
1313_32639,,,,,,,S,,S,,,,S,,R,R,
1313_11805,,S,,,S,,,,,,,,,,,R,
1313_46947,,,,,S,,R,R,R,S,,,,,R,S,
1313_23734,,,,,,,S,,R,,,,S,,R,R,
1313_25698,,,,,,,S,,S,,,,S,,R,R,
1313_24407,,,,,,,S,,S,,,,S,,S,S,
1313_30711,,,,,,,S,,S,,,,R,,S,R,
1313_22655,,,,,,,,,S,,,,R,,S,,
