Genome ID,amikacin,aztreonam,cefepime,ceftazidime,ciprofloxacin,colistin,gentamicin,imipenem,levofloxacin,meropenem,piperacillin_tazobactam,tobramycin
287_7796,S,R,S,S,S,,S,S,S,S,S,S
287_1153,R,,,R,,S,,,R,R,,
287_1040,S,,,R,,S,,,S,R,,
287_1224,R,,,R,,S,,,R,R,,
287_7809,S,R,S,S,S,,S,S,S,S,S,S
287_1218,R,,,,,S,,,S,S,,
287_1023,S,,,,,S,,,S,S,,
287_4063,,S,S,S,,,,R,,S,S,
287_7788,S,S,S,S,S,,S,S,S,S,S,S
287_1074,S,,,,,S,,,S,S,,
1402538_3,S,,,S,S,S,S,S,S,,,S
287_925,S,,,,,S,,,R,S,,
287_981,S,,,,,S,,,S,S,,
287_1156,S,,,,,S,,,R,S,,
287_959,S,,,,,S,,,S,S,,
287_1220,S,,,S,,S,,,R,S,,
287_1212,R,,,,,S,,,R,R,,
287_886,S,,,,,S,,,S,S,,
287_1050,S,,,,,S,,,R,R,,
287_7803,S,R,R,S,R,,S,R,R,R,R,S
1402509_3,S,,,S,S,S,S,S,S,,,S
287_1301,S,,,,,S,,,S,S,,
287_1163,R,,,R,,S,,,R,R,,
1402530_3,S,,,S,S,S,S,S,S,,,S
287_1047,S,,,,,S,,,S,S,,
287_7828,S,R,S,S,S,,S,S,R,S,R,S
287_1176,S,,,,,,,,R,R,,
1418235_3,S,,,S,R,S,S,S,R,,,S
287_4066,,R,R,R,,,,,,R,S,
287_873,S,,,,,S,,,S,S,,
287_1123,R,,,,,S,,,R,R,,
287_1022,S,,,,,S,,,S,S,,
1402526_3,R,,,S,R,S,S,R,S,,,S
287_898,S,,,,,S,,,R,R,,
287_1001,S,,,R,,S,,,S,R,,
287_918,S,,,S,,S,,,R,R,,
287_7787,S,R,R,S,R,,R,R,R,R,R,R
287_1068,S,,,,,S,,,S,S,,
287_1187,S,,,,,,,,S,S,,
287_1145,S,,,R,,S,,,R,R,,
287_4057,,S,S,S,,,,R,,S,S,
287_952,S,,,,,S,,,S,S,,
287_1204,R,,,R,,S,,,R,R,,
287_1120,S,,,,,S,,,S,S,,
287_897,R,,,S,,S,,,R,S,,
287_969,S,,,,,S,,,S,S,,
287_32679,,,,,R,,,R,,,,
287_34437,S,S,S,S,S,S,S,,,S,S,
287_1239,R,,,,,,,,R,R,,
287_1048,S,,,,,S,,,S,R,,
287_1012,S,,,,,S,,,S,S,,
287_1041,S,,,,,S,,,S,S,,
287_971,S,,,,,S,,,S,S,,
287_1112,S,,,S,,S,,,R,S,,
287_1247,S,,,,,S,,,S,R,,
287_1206,R,,,R,,S,,,R,R,,
287_1102,S,,,,,S,,,S,S,,
287_1044,S,,,S,,S,,,S,S,,
1402520_3,S,,,S,S,S,S,S,S,,,S
287_1084,S,,,,,S,,,R,R,,
287_1000,R,,,S,,S,,,R,S,,
287_962,S,,,,,S,,,S,S,,
287_903,S,,,R,,S,,,R,S,,
287_1106,S,,,S,,S,,,S,S,,
287_4058,,R,S,R,,,,S,,S,R,
287_7811,S,R,R,S,R,,S,R,R,R,R,S
287_914,S,,,,,S,,,S,S,,
287_924,S,,,,,S,,,S,R,,
287_930,S,,,,,S,,,S,S,,
287_1071,S,,,,,S,,,R,S,,
287_904,S,,,,,S,,,S,S,,
287_1225,R,,,,,R,,,R,R,,
287_902,S,,,,,S,,,R,S,,
287_1171,S,,,,,,,,R,R,,
287_32650,,,,,R,,,,,,,
287_958,S,,,,,S,,,R,R,,
287_1081,S,,,,,S,,,S,S,,
287_850,S,,,,,S,,,S,S,,
287_4061,,S,S,R,,,,R,,R,S,
287_1203,S,,,R,,S,,,R,R,,
287_1095,S,,,S,,S,,,R,R,,
287_1033,S,,,,,S,,,R,R,,
287_32652,,,,,R,,,R,,,,
287_1077,S,,,,,S,,,S,S,,
287_1147,R,,,R,,S,,,R,R,,
287_932,S,,,,,S,,,S,S,,
287_1052,S,,,S,,S,,,R,S,,
287_882,S,,,,,S,,,S,S,,
287_986,S,,,,,S,,,S,R,,
287_849,S,,,R,,S,,,S,R,,
287_1182,S,,,,,S,,,R,R,,
287_961,S,,,S,,S,,,S,R,,
287_1131,S,,,S,,S,,,R,R,,
287_32664,,,,,R,,,R,,,,
287_972,S,,,R,,S,,,R,R,,
287_1134,R,,,R,,S,,,R,R,,
287_888,S,,,,,S,,,R,R,,
287_990,S,,,,,R,,,S,S,,
287_976,S,,,,,S,,,S,S,,
287_32651,,,,,R,,,,,,,
287_1243,R,,,,,,,,R,R,,
287_1144,S,,,R,,S,,,R,R,,
287_8491,,,,,,,R,,,R,,
1402501_3,S,,,R,R,R,S,S,R,,,S
287_998,S,,,,,,,,S,S,,
287_1148,S,,,R,,S,,,R,R,,
287_1086,S,,,,,S,,,S,S,,
1418238_3,S,,,S,S,S,S,S,S,,,S
287_1024,S,,,R,,S,,,R,R,,
287_1167,S,,,S,,,,,S,S,,
287_1174,S,,,,,,,,S,S,,
287_1168,S,,,,,,,,S,R,,
287_1157,S,,,,,S,,,S,S,,
287_861,S,,,,,S,,,R,S,,
287_32677,,,,,R,,,,,,,
287_1117,S,,,,,S,,,S,S,,
287_1113,S,,,,,S,,,S,S,,
287_929,S,,,R,,S,,,R,R,,
287_8498,,R,R,R,,,,,,R,,
