Genome ID,amoxicillin_clavulanic acid,ampicillin,azithromycin,cefepime,cefotaxime,cefoxitin,ceftazidime,ceftiofur,ceftriaxone,cephalosporin,chloramphenicol,ciprofloxacin,ertapenem,furazolidone,gentamicin,kanamycin,meropenem,nalidixic acid,netilmicin,ofloxacin,pefloxacin,spectinomycin,streptomycin,sulfamethoxazole,sulfisoxazole,sulfonamides,tetracycline,tigecycline,trimethoprim,trimethoprim_sulfamethoxazole
595_129,S,S,,,S,,,,,,S,S,,,S,S,,R,,,,,R,R,,,R,,S,
590_16688,S,S,,,,S,,,S,,S,R,,,S,,,S,,,,,,,S,,R,,,S
108619_88,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
590_14894,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
98360_77,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,S,,R,,R,,,S
90370_5506,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,S,,,S
192955_373,,R,S,,,S,S,,S,,S,R,,,S,S,,R,S,,,S,S,,,R,R,,S,
590_12061,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_2961,,R,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
590_12410,S,R,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_16871,S,S,,,,S,,,S,,R,S,,,S,,,S,,,,,,,S,,R,,,S
90370_3415,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
108619_38,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
192955_409,,R,R,,,R,R,,R,,R,R,,,S,R,,R,R,,,R,R,,,R,S,,R,
59201_4132,,R,S,,,,,,R,,R,S,,,,,S,,,,,,,,,,,S,,R
192955_424,,S,S,,,S,S,,S,,S,R,,,R,S,,R,S,,,R,R,,,R,R,,S,
90370_4856,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
59201_4106,,S,,S,S,,S,,S,,S,R,,,,,S,,,,R,,,,,,,,,S
590_12443,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90371_5385,S,R,,,,,S,,S,,R,S,,,R,,,R,,S,,,,,,,,,S,
85569_244,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,S,S,,,R,R,,R,
54388_273,,S,,,,,S,,S,,S,,S,,S,,S,R,,,R,S,S,,,S,S,,S,S
90370_5510,,S,S,,,,S,,S,,S,R,S,,S,,S,R,,,R,,,,,,S,,,S
90370_3052,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
90370_3494,,S,,,,,,,,S,S,R,,,,,,S,,,,,,,,,,,,S
590_14712,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
98360_94,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,R,,R,,R,,,S
90371_5509,,R,,,S,,S,,S,,S,,S,,S,,S,S,,,S,,,,,,S,,,R
90370_4946,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_4103,,S,S,,,,S,,S,,S,S,,,S,,S,,,,S,,,,,,S,,,S
590_15312,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_2724,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
28901_799,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90370_3172,,S,,,,,,,S,,S,S,,,,,,,,,,,,,,,,,,S
590_16023,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
85569_300,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
590_16756,S,S,,,,S,,,S,,R,S,,,S,,,S,,,,,,,S,,R,,,S
590_16053,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,R
108619_151,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
192955_423,,R,S,,,S,S,,S,,S,S,,,S,S,,R,S,,,S,S,,,S,S,,S,
28901_790,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,R,,S,,,R
149391_44,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_12252,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90370_4135,,S,S,,,,S,,S,,,S,,,S,,S,,,,S,,,,,,S,,,S
28901_816,S,R,S,,,S,,S,S,,S,R,,,S,,,R,,,,,S,,R,,R,,,S
399587_73,S,R,S,S,S,S,S,,S,,R,,,,S,,S,S,,,S,,,R,,,S,S,R,
590_13649,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,S,,,R
