Genome ID,azithromycin,cefixime,cefpodoxime,ceftriaxone,ciprofloxacin,erythromycin,levofloxacin,penicillin,spectinomycin,tetracycline
485_12988,S,,,S,R,,,R,S,S
485_5212,S,S,,S,R,,,,,
485_12904,S,,,S,R,,,S,S,S
485_14230,S,,,S,R,,,R,S,S
485_6845,S,,,,R,,,,,
485_789,S,S,,S,R,R,,R,S,R
485_14239,S,,,S,R,,,R,S,S
485_9392,S,S,,S,S,,,,,
485_8589,S,S,,S,R,,,,,
485_14273,S,,,S,S,,,S,S,S
485_16991,S,,,S,S,,,S,S,S
485_131,S,S,S,S,R,,,,S,R
485_9518,R,S,,S,R,,,,,
485_4387,S,S,,S,R,,,,,
485_15044,S,,,S,R,,,S,S,S
485_4069,S,S,,S,S,,,,,
485_13988,S,,,S,S,,,S,S,S
485_8996,S,S,,S,S,,,,,
485_4474,S,S,,S,S,,,,,
485_9683,S,,,S,S,,,R,S,S
485_4991,S,S,,S,R,,,,,
485_8489,S,S,,S,S,,,,,
485_13462,S,,,S,R,,,S,S,S
485_4217,S,S,,S,R,,,,,
485_13266,S,,,S,S,,,S,S,S
485_8784,S,S,,S,R,,,,,
485_13644,S,,,S,R,,,S,S,S
485_270,S,S,R,S,R,,,,S,R
485_9418,S,S,,S,,,,,,
485_5235,S,S,,S,R,,,,,
485_5370,S,S,,S,R,,,,,
485_8558,S,S,,S,R,,,,,
485_144,S,S,R,S,R,,,,S,R
485_13569,S,,,S,S,,,S,S,S
485_840,S,S,,S,R,R,,R,S,R
485_12879,S,,,S,R,,,S,S,S
485_8514,S,S,,S,,,,,,
485_13604,S,,,S,S,,,S,S,S
485_8463,S,S,,S,S,,,,,
485_4985,S,S,,R,R,,,,,
485_4382,R,S,,S,R,,,,,
485_9626,,S,,S,,,,,,
485_13618,S,,,S,S,,,S,S,S
485_9716,S,,,R,R,,,R,S,
485_4502,S,S,,S,S,,,,,
485_6924,S,,,,R,,,,,
485_5473,S,S,,S,R,,,,,
485_761,S,S,,S,R,S,,R,S,R
485_17071,S,,,S,S,,,S,S,S
485_16564,S,,,S,R,,,R,S,S
485_17043,S,,,S,S,,,R,S,S
485_15530,R,,,S,S,,,R,S,S
485_9297,S,S,,S,R,,,,,
485_12918,S,,,S,R,,,S,S,S
485_5428,S,S,,S,R,,,,,
485_17556,S,,,S,S,,,S,S,S
485_17555,S,,,S,S,,,S,S,S
485_196,S,S,R,S,R,,,,S,R
485_8729,S,S,,S,S,,,,,
485_260,S,S,S,S,R,,,,S,R
485_245,S,S,S,S,R,,,,S,R
