,Carbapenem,Cephem,Fluoroquinolone,Folate,Glycopeptide,Lincosamide,Macrolide,Oxazolidinone,Penicilin,Phenicol,Streptogramin,Tetracycline
1313_10856,,S,,R,,,,,,,,
1313_10131,,S,,R,,,,,,,,
1313_29950,,,,S,,,S,,S,S,,S
1313_24852,,,,S,,,S,,S,S,,R
1313_17430,S,S,,S,,S,R,,S,,,S
1313_24780,,,,,,,S,,S,S,,R
1313_11725,,S,,R,,,,,,,,
1313_23236,,,,,,,R,,S,,,
1313_26936,,,,R,,,S,,S,S,,S
1313_33386,,,,S,,,S,,S,S,,S
1313_26986,,,,R,,,S,,S,S,,S
1313_33821,,,,R,,,S,,R,S,,S
1313_17440,,,,S,,S,S,,S,,,S
1313_46584,,R,S,S,,S,R,,,S,,S
1313_24085,,,,S,,,S,,S,S,,R
1313_30321,,,,,,,R,,S,,,
1313_46630,,S,S,S,,S,S,,,S,,S
1313_27684,,,,R,,,S,,S,S,,S
1313_24428,,,,R,,,R,,R,S,,R
1313_26596,,,,R,,,S,,R,S,,R
1313_25128,,,,R,,,,,R,,,
1313_23560,,,,S,,,S,,S,S,,R
1313_24643,,,,R,,,S,,S,S,,R
1313_23539,,,,S,,,S,,S,S,,R
1313_30400,,,,R,,,R,,R,S,,S
1313_32635,,,,S,,,R,,S,S,,R
1313_10027,,S,,R,,,,,,,,
1313_42025,S,S,,S,,S,S,,S,,,S
1313_32845,,,,S,,,S,,S,S,,S
1313_25367,,,,S,,,S,,S,S,,S
760778_3,R,R,S,R,S,R,R,,R,S,,R
1313_11545,,S,,S,,,,,,,,
1313_12348,,S,,R,,,,,,,,
1313_24805,,,,R,,,R,,R,S,,R
1313_21043,,,,S,,,R,,R,S,,R
1313_33371,,,,R,,,S,,S,S,,R
1313_23824,,,,R,,,S,,S,S,,R
1313_25717,,,,S,,,S,,S,S,,R
1313_26621,,,,R,,,S,,S,R,,R
1313_46963,,S,,S,,S,R,,,S,,S
1313_27325,,,,R,,,S,,R,S,,S
1313_47038,,S,S,R,,S,S,,,S,,S
1313_31491,,,,R,,,S,,S,S,,R
1313_31705,,,,S,,,S,,S,S,,S
1313_32525,,,,R,,,R,,R,S,,R
1313_30802,,,,S,,,S,,S,S,,S
1313_27163,,,,R,,,S,,S,S,,R
1313_32953,,,,R,,,S,,S,,,R
1313_33703,,,,R,,,R,,S,S,,R
1313_25649,,,,R,,,S,,R,S,,R
1313_33883,,,,R,,,R,,R,S,,R
1313_25643,,,,S,,,,,,,,
1313_30714,,,,R,,,S,,R,R,,R
1313_33271,,,,S,,,S,,S,S,,R
1313_25673,,,,R,,,S,,S,S,,R
1313_27361,,,,S,,,S,,S,S,,S
1313_10250,,S,,R,,,,,,,,
1313_12745,,S,,R,,,,,,,,
1313_33972,,,,R,,,R,,S,S,,S
1313_25684,,,,R,,,S,,R,S,,R
1313_27006,,,,S,,,S,,S,S,,R
1313_6369,,S,,,,,,,,S,,R
1313_26081,,,,R,,,R,,R,,,R
1313_6567,,S,,,,,R,,,S,,R
1313_12863,,S,,R,,,,,,,,
1313_23596,,,,R,,,S,,S,S,,S
1313_31861,,,,R,,,R,,S,S,,R
1313_32931,,,,,,,S,,S,,,R
1313_25371,,,,R,,,S,,S,S,,S
1313_12090,,S,,R,,,,,,,,
1313_47093,,S,S,S,,S,S,,,S,,S
1313_47252,,S,S,S,,S,R,,,S,,S
1313_25288,,,,R,,,R,,R,S,,R
1313_25971,,,,,,,S,,S,,,R
1313_33359,,,,R,,,R,,R,S,,R
1313_33740,,,,R,,,S,,S,S,,R
1313_23400,,,,S,,,S,,S,S,,S
1313_24286,,,,,,,S,,S,S,,R
1313_33103,,,,S,,,S,,S,S,,R
1313_31603,,,,,,,R,,S,,,
1313_34156,,,,S,,,S,,S,S,,S
760801_3,R,R,S,R,S,R,R,S,R,S,S,R
1313_20238,,,,S,,,S,,R,S,,R
1313_33298,,,,R,,,R,,S,S,,R
1313_30522,,,,,,,S,,S,,,
1313_11059,,S,,S,,,,,,,,
1313_32711,,,,R,,,R,,S,S,,R
1313_31789,,,,S,,,S,,S,S,,S
1313_9331,,,,S,,,S,,S,S,,S
1313_23404,,,,R,,,S,,S,S,,S
1313_32502,,,,R,,,S,,R,S,,R
1313_24992,,,,R,,,R,,S,,,R
1313_32797,,,,S,,,S,,S,S,,S
1313_24030,,,,S,,,S,,R,S,,R
1313_7012,S,S,S,S,S,S,S,S,S,S,,
1313_31272,,,,R,,,S,,,S,,S
1313_30790,,,,R,,,S,,R,S,,S
1313_27334,,,,R,,,R,,R,S,,R
1313_24530,,,,R,,,S,,S,R,,R
1313_21732,,,,R,,,S,,S,,,R
1313_32229,,,,S,,,S,,S,S,,R
1313_33255,,,,R,,,R,,S,,,R
1313_34166,,,,S,,,S,,S,S,,S
1313_6526,,S,,,,,S,,,S,,S
1313_34364,,,,,,,R,,S,R,,
1313_47026,,R,S,R,,R,R,,,R,,R
1313_12618,,R,,R,,,,,,,,
